customer_id;user_id;sex;name;surname;patronymic;day_of_birth;measure;tariff_id;tariff_end_date;instructor_id
1;113;man;Григорий;Владимирский;Антонович;1989-05-23;{"""height""": """[177]""", """weights""": """[106]""", """measure_dates""": """['2019-01-01']"""};2;2021-08-14;
2;114;man;Дмитрий;Воскобойников;Егорович;1971-08-05;{"""height""": """[146]""", """weights""": """[117, 117, 117, 124, 128]""", """measure_dates""": """['2020-03-25', '2021-02-01', '2021-02-15', '2021-02-21', '2021-03-15']"""};1;2022-05-13;2
3;115;woman;Яна;Обломова;Игоревна;1978-03-08;{"""height""": """[151]""", """weights""": """[82, 75, 85, 77, 84, 76]""", """measure_dates""": """['2019-06-08', '2020-07-08', '2020-10-06', '2020-10-27', '2021-01-26', '2021-04-04']"""};2;2021-06-16;
4;116;man;Марк;Арский;Наумович;1970-05-20;{"""height""": """[176]""", """weights""": """[139, 140, 134, 133, 140]""", """measure_dates""": """['2019-03-29', '2019-06-04', '2019-10-09', '2020-08-30', '2020-09-20']"""};2;2022-07-20;12
5;117;woman;Ирина;Софийская;Васильевна;1970-01-20;{"""height""": """[161]""", """weights""": """[108, 116, 119, 116]""", """measure_dates""": """['2020-03-13', '2020-04-20', '2020-10-19', '2021-04-21']"""};4;2021-09-12;
6;118;woman;Эвелина;Хованская;Львовна;1991-04-21;{"""height""": """[168]""", """weights""": """[112, 107, 104, 98, 101, 105]""", """measure_dates""": """['2019-08-13', '2019-10-09', '2020-01-09', '2020-06-17', '2020-09-01', '2021-04-18']"""};4;2021-12-03;2
7;119;woman;Эльвина;Николаева;Дмитриевна;1952-03-04;{"""height""": """[168]""", """weights""": """[62, 70]""", """measure_dates""": """['2019-12-08', '2021-04-02']"""};3;2022-09-03;13
8;120;man;Назар;Хмелевский;Егорович;1966-11-17;{"""height""": """[190]""", """weights""": """[111, 105, 104, 109]""", """measure_dates""": """['2019-08-14', '2020-04-09', '2021-01-13', '2021-02-07']"""};3;2022-06-17;
9;121;man;Назар;Оболенский;Валерьевич;1963-10-23;{"""height""": """[147]""", """weights""": """[122, 129, 131, 128]""", """measure_dates""": """['2019-04-21', '2020-08-31', '2021-02-17', '2021-02-22']"""};3;2022-08-02;
10;122;man;Радмир;Гронский;Валерьевич;1960-08-24;{"""height""": """[190]""", """weights""": """[156, 161, 166, 159, 167, 162, 167]""", """measure_dates""": """['2019-02-04', '2019-10-26', '2020-01-27', '2021-03-13', '2021-03-26', '2021-04-07', '2021-04-25']"""};1;2021-10-02;
11;123;man;Виктор;Гиляровский;Данилович;1972-07-05;{"""height""": """[192]""", """weights""": """[194, 202]""", """measure_dates""": """['2020-09-07', '2021-01-14']"""};2;2021-07-30;
12;124;woman;Екатерина;Белова;Валентиновна;1962-05-08;{"""height""": """[156]""", """weights""": """[135, 137, 141, 138, 145, 139]""", """measure_dates""": """['2019-03-26', '2019-03-27', '2019-07-09', '2019-08-08', '2020-12-11', '2021-03-06']"""};2;2021-09-02;2
13;125;woman;Кристина;Ефимова;Леонидовна;1966-12-27;{"""height""": """[201]""", """weights""": """[172]""", """measure_dates""": """['2021-02-19']"""};3;2021-07-17;
