user_id,login,password,email,phone,role,club_id
2,#nHbtN3cfDm,ilQ(0)EYRUrFl$zI3w6,WAU_eQqWXh5Xe5Ui5MH@mail.yahoo.com,+7 (728) 956-40-53,2,2
3,01l9cEPFkLEhzU,Er7Fofa43zBqMgVY,BznogXWI115W@mail.ru,+7 (491) 372-34-15,2,3
4,7GkfDk*,ZZ@HL),1PvYP_TCt@rambler.ru,+7 (484) 135-49-61,2,4
5,MMpOAP5dTQ,&qSg4X^*uG,0kQ0E@outlook.com,+7 (355) 453-38-33,2,5
6,XDRTZyUlPXh,mpTNRr7Pla,waa3TDR09ejoUbFv@mail.yahoo.com,+7 (396) 671-37-41,2,6
7,yFERwc&yMxIqdn)37H0,mena_*J#^Xw4baw_wG,sLd9Tk1@gmail.com,+7 (981) 961-48-53,2,7
8,tSwffHbFFGyM_s,8#RQ&v,gzJx_@gmail.com,+7 (379) 926-69-44,2,8
9,2N@Pm#)_kjeTisraEmGD,mq^RX,mF3tJWZnYQ5F@mail.yandex.ru,+7 (537) 103-96-69,1,1
10,y5*59Scw3eM;vX3)@,mCjkwDFa_v;aFpIg,2JhTiBF@gmail.com,+7 (413) 677-28-16,1,1
11,k;j4Va03,a*)^iyH;AO6vxMpF6,cipJJyJWGOf9U@outlook.com,+7 (997) 563-66-52,1,1
12,Gv@Q^p,Q^nnF3sV_,OLIGAYO@rambler.ru,+7 (708) 745-00-75,1,1
13,$O%JGvdTb*amg6263#8,EPOtLek$tUVt6,wLKIE4RzQ@mail.yahoo.com,+7 (520) 187-22-28,1,1
14,Raqlk5fsp5DI7rQI8p,ivzj(S,8gXWcHrbPZQque0@rambler.ru,+7 (047) 803-39-80,1,1
15,dglxbduovb%b7gVX,%frgH!0lNggnno0nh%,HoveurR@outlook.com,+7 (844) 569-77-00,1,1
16,xt^qcogzQmBshdA)X,VyayVur6,0Ns4svVUZTjsD7I4y3p@rambler.ru,+7 (823) 177-49-86,1,1
17,S()t5nQ#OyE,3S;oS7Sbqrly$)SvXfMa,xXf7vh_QpxOtK@rambler.ru,+7 (719) 303-18-15,1,1
18,0ASmgsapCyLy2,GYF$i4cOOzYqx0zK,YEQqPQJ5_7GPbwKVh0@mail.yahoo.com,+7 (929) 885-61-35,1,1
19,DLdzfSWeQD_VRyB3mRY,%Ho8kwrLpk)M,IP2rRyT6p@rambler.ru,+7 (623) 285-99-79,1,1
20,jpID!7Tbtw,fQu;epLwWkK1Yp1V,dzIHJPPDPfAOaJmo@mail.ru,+7 (423) 083-41-64,1,1
21,qb1ke),a5!)v%5EDqY,7k5BCXUr200Mq_FZB2K@mail.yahoo.com,+7 (766) 696-61-34,1,1
22,NaFmmo!(nQDqZoD,D$qgm!&haAOP6,Q_r_kM2lyKl1HEz@mail.ru,+7 (973) 632-46-62,1,2
23,!v8xl,ZI07cQsP@86usp0c*y,JnWA5PeJb@rambler.ru,+7 (178) 776-21-61,1,2
